,date,country,confirmed,recovered,deaths
0,2020-03-30,Australia,4361,257,17
1,2020-03-30,Austria,9618,636,108
2,2020-03-30,Canada,7448,1020,89
3,2020-03-30,China,82240,76192,3309
4,2020-03-30,Denmark,2755,73,77
5,2020-03-30,Finland,1352,10,13
6,2020-03-30,France,45170,7964,3030
7,2020-03-30,Germany,66885,13500,645
8,2020-03-30,Iceland,1086,157,2
9,2020-03-30,Ireland,2910,5,54
10,2020-03-30,Italy,101739,14620,11591
11,2020-03-30,Netherlands,11817,253,865
12,2020-03-30,Norway,4462,12,32
13,2020-03-30,Russia,1836,66,9
14,2020-03-30,Sweden,4028,16,146
15,2020-03-30,Switzerland,15922,1823,359
16,2020-03-30,United Kingdom,22454,171,1411
17,2020-03-30,United States,164274,5847,3040
18,2020-03-30,Afghanistan,170,2,4
19,2020-03-30,Albania,223,44,11
20,2020-03-30,Algeria,584,37,35
21,2020-03-30,Andorra,370,10,8
22,2020-03-30,Angola,7,1,2
23,2020-03-30,Antigua And Barbuda,7,0,0
24,2020-03-30,Argentina,966,228,24
25,2020-03-30,Armenia,482,30,3
26,2020-03-30,Azerbaijan,273,26,4
27,2020-03-30,Bahamas,14,1,0
28,2020-03-30,Bahrain,515,295,4
29,2020-03-30,Bangladesh,49,19,5
30,2020-03-30,Barbados,34,0,0
31,2020-03-30,Belarus,152,32,0
32,2020-03-30,Belgium,11899,1527,513
33,2020-03-30,Belize,3,0,0
34,2020-03-30,Benin,6,0,0
35,2020-03-30,Bhutan,4,0,0
36,2020-03-30,Bolivia,97,0,4
37,2020-03-30,Bosnia And Herzegovina,368,17,10
38,2020-03-30,Botswana,3,0,0
39,2020-03-30,Brazil,4661,127,165
40,2020-03-30,Brunei,127,38,1
41,2020-03-30,Bulgaria,359,17,8
42,2020-03-30,Burkina Faso,246,31,12
43,2020-03-30,Burma,14,0,0
44,2020-03-30,Cabo Verde,6,0,1
45,2020-03-30,Cambodia,107,21,0
46,2020-03-30,Cameroon,139,5,6
47,2020-03-30,Central African Republic,3,0,0
48,2020-03-30,Chad,5,0,0
49,2020-03-30,Chile,2449,156,8
50,2020-03-30,Colombia,798,15,14
51,2020-03-30,Congo (Brazzaville),19,0,0
52,2020-03-30,Congo (Kinshasa),81,2,8
53,2020-03-30,Costa Rica,330,4,2
54,2020-03-30,Cote D'Ivoire,168,6,1
55,2020-03-30,Croatia,790,67,6
56,2020-03-30,Cuba,170,4,4
57,2020-03-30,Cyprus,230,22,7
58,2020-03-30,Czechia,3001,25,23
59,2020-03-30,Diamond Princess,712,603,10
60,2020-03-30,Djibouti,18,0,0
61,2020-03-30,Dominica,12,0,0
62,2020-03-30,Dominican Republic,901,4,42
63,2020-03-30,Ecuador,1966,3,62
64,2020-03-30,Egypt,656,150,41
65,2020-03-30,El Salvador,30,0,0
66,2020-03-30,Equatorial Guinea,12,0,0
67,2020-03-30,Eritrea,15,0,0
68,2020-03-30,Estonia,715,20,3
69,2020-03-30,Eswatini,9,0,0
70,2020-03-30,Ethiopia,23,4,0
71,2020-03-30,Fiji,5,0,0
72,2020-03-30,Gabon,7,0,1
73,2020-03-30,Gambia,4,0,1
74,2020-03-30,Georgia,103,20,0
75,2020-03-30,Ghana,152,2,5
76,2020-03-30,Greece,1212,52,46
77,2020-03-30,Grenada,9,0,0
78,2020-03-30,Guatemala,36,10,1
79,2020-03-30,Guinea,22,0,0
80,2020-03-30,Guinea-Bissau,8,0,0
81,2020-03-30,Guyana,8,0,1
82,2020-03-30,Haiti,15,1,0
83,2020-03-30,Holy See,6,0,0
84,2020-03-30,Honduras,141,3,7
85,2020-03-30,Hungary,447,34,15
86,2020-03-30,India,1251,102,32
87,2020-03-30,Indonesia,1414,75,122
88,2020-03-30,Iran,41495,13911,2757
89,2020-03-30,Iraq,630,152,46
90,2020-03-30,Israel,4695,161,16
91,2020-03-30,Jamaica,36,2,1
92,2020-03-30,Japan,1953,424,56
93,2020-03-30,Jordan,268,26,5
94,2020-03-30,Kazakhstan,308,21,1
95,2020-03-30,Kenya,50,1,1
96,2020-03-30,"Korea, South",9786,5408,162
97,2020-03-30,Kosovo,94,1,1
98,2020-03-30,Kuwait,266,72,0
99,2020-03-30,Kyrgyzstan,94,3,0
100,2020-03-30,Laos,8,0,0
101,2020-03-30,Latvia,376,1,0
102,2020-03-30,Lebanon,446,35,11
103,2020-03-30,Liberia,3,0,0
104,2020-03-30,Libya,8,0,0
105,2020-03-30,Liechtenstein,62,0,0
106,2020-03-30,Lithuania,491,7,7
107,2020-03-30,Luxembourg,1988,40,22
108,2020-03-30,Ms Zaandam,2,0,0
109,2020-03-30,Madagascar,43,0,0
110,2020-03-30,Malaysia,2626,479,37
111,2020-03-30,Maldives,17,13,0
112,2020-03-30,Mali,25,0,2
113,2020-03-30,Malta,156,2,0
114,2020-03-30,Mauritania,6,2,1
115,2020-03-30,Mauritius,128,0,3
116,2020-03-30,Mexico,1094,35,28
117,2020-03-30,Moldova,298,15,2
118,2020-03-30,Monaco,49,1,1
119,2020-03-30,Mongolia,12,2,0
120,2020-03-30,Montenegro,91,0,1
121,2020-03-30,Morocco,556,15,33
122,2020-03-30,Mozambique,8,0,0
123,2020-03-30,Namibia,11,2,0
124,2020-03-30,Nepal,5,1,0
125,2020-03-30,New Zealand,647,74,1
126,2020-03-30,Nicaragua,4,0,1
127,2020-03-30,Niger,27,0,3
128,2020-03-30,Nigeria,131,8,2
129,2020-03-30,North Macedonia,285,12,7
130,2020-03-30,Oman,179,29,0
131,2020-03-30,Pakistan,1717,76,21
132,2020-03-30,Panama,1075,9,27
133,2020-03-30,Papua New Guinea,1,0,0
134,2020-03-30,Paraguay,65,1,3
135,2020-03-30,Peru,950,53,24
136,2020-03-30,Philippines,1546,42,78
137,2020-03-30,Poland,2055,7,31
138,2020-03-30,Portugal,6408,43,140
139,2020-03-30,Qatar,693,51,1
140,2020-03-30,Romania,2109,209,65
141,2020-03-30,Rwanda,70,0,0
142,2020-03-30,Saint Kitts And Nevis,7,0,0
143,2020-03-30,Saint Lucia,9,1,0
144,2020-03-30,Saint Vincent And The Grenadines,1,1,0
145,2020-03-30,San Marino,230,13,25
146,2020-03-30,Saudi Arabia,1453,115,8
147,2020-03-30,Senegal,162,27,0
148,2020-03-30,Serbia,785,0,16
149,2020-03-30,Seychelles,8,0,0
150,2020-03-30,Singapore,879,228,3
151,2020-03-30,Slovakia,336,7,0
152,2020-03-30,Slovenia,756,10,11
153,2020-03-30,Somalia,3,0,0
154,2020-03-30,South Africa,1326,31,3
155,2020-03-30,Spain,87956,16780,7716
156,2020-03-30,Sri Lanka,122,15,2
157,2020-03-30,Sudan,6,0,2
158,2020-03-30,Suriname,8,0,0
159,2020-03-30,Syria,10,0,2
160,2020-03-30,Taiwan*,306,39,5
161,2020-03-30,Tanzania,19,1,0
162,2020-03-30,Thailand,1524,229,9
163,2020-03-30,Timor-Leste,1,0,0
164,2020-03-30,Togo,30,1,1
165,2020-03-30,Trinidad And Tobago,83,1,3
166,2020-03-30,Tunisia,362,3,9
167,2020-03-30,Turkey,10827,162,168
168,2020-03-30,Uganda,33,0,0
169,2020-03-30,Ukraine,548,8,13
170,2020-03-30,United Arab Emirates,611,61,5
171,2020-03-30,Uruguay,320,25,1
172,2020-03-30,Uzbekistan,149,7,2
173,2020-03-30,Venezuela,135,39,3
174,2020-03-30,Vietnam,204,55,0
175,2020-03-30,West Bank And Gaza,117,18,1
176,2020-03-30,Zambia,35,0,0
177,2020-03-30,Zimbabwe,7,0,1
